sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
40,20390265,1,ok,4.039327e-09,5.066996e-09,3.024716e-09,3.847559e-09,1.5937905538,1.0893830938,0.2146586,0.01254695,1.8556217629e-08,6.0051747579,-0.002804631776,6.0,0.0,6.0277745982,-0.01651227395,6.0238575608,-0.01076555782,6.044322187,-0.02264527549,6.0513778835,-0.02818106362,6.0523503378,-0.02828708549
41,20390266,1,ok,4.036718e-09,5.060499e-09,3.022334e-09,3.842925e-09,1.595394388,1.0891435333,0.2138895,0.009438831,1.85566329e-08,6.0051604875,-0.002775370305,6.0,0.0,6.0277359947,-0.01644742171,6.0240694312,-0.01077341245,6.0442992435,-0.02259572112,6.0513666245,-0.02807764976,6.0524846748,-0.02812018801
42,20390267,1,ok,4.051948e-09,5.066265e-09,3.032994e-09,3.847362e-09,1.5836840788,1.0895205497,0.212291,0.01269101,1.8555880533e-08,6.0051804436,-0.002820150891,6.0,0.0,6.0277469511,-0.01657024909,6.0244809359,-0.01089143028,6.0443390165,-0.02263919314,6.0516816593,-0.02812710789,6.0521304027,-0.02824737849
43,20390268,1,ok,4.053281e-09,5.05896e-09,3.028473e-09,3.84344e-09,1.5829636217,1.0903641683,0.2131271,0.009755666,1.85564545e-08,6.0051831057,-0.002809774147,6.0,0.0,6.0277337231,-0.01644733615,6.0239784192,-0.0108170873,6.0443545489,-0.02269490402,6.051610952,-0.0278641306,6.0517157321,-0.02795432048
44,20390269,1,ok,4.061435e-09,5.065868e-09,3.033659e-09,3.84866e-09,1.5842827534,1.0893055945,0.2133687,0.01154113,1.8556078492e-08,6.0051772048,-0.002799922462,6.0,0.0,6.0277849252,-0.01653398724,6.0243635599,-0.01090497419,6.0446126645,-0.02268941736,6.0516113633,-0.02806643617,6.0523199703,-0.02804260955
45,20390270,1,ok,4.056623e-09,5.06095e-09,3.033396e-09,3.843001e-09,1.5880221688,1.0848957253,0.2147031,0.004149295,1.8556391847e-08,6.0051132058,-0.002817272254,6.0,0.0,6.0277150721,-0.01643756035,6.0241879411,-0.01092549635,6.0442422018,-0.02262165068,6.0513766558,-0.02822566657,6.0522008454,-0.02809184925
46,20390271,1,ok,4.058496e-09,5.074061e-09,3.032509e-09,3.852035e-09,1.5814934796,1.0858655632,0.2121331,0.008900343,1.855573669e-08,6.005187632,-0.00280276662,6.0,0.0,6.0276969887,-0.01646222753,6.0239371074,-0.01076443007,6.0444127514,-0.02262248316,6.051581041,-0.0282328883,6.052326382,-0.02842636485
47,20390272,1,ok,4.033601e-09,5.062466e-09,3.020764e-09,3.846981e-09,1.5963350089,1.0897416511,0.2138661,0.01390933,1.8556160064e-08,6.0051678808,-0.002782565983,6.0,0.0,6.0277812578,-0.01649025528,6.0242252819,-0.01084163872,6.0444455791,-0.0226928133,6.0521484636,-0.02808013411,6.0527947053,-0.02805225903
48,20390273,1,ok,4.058153e-09,5.051532e-09,3.033416e-09,3.837854e-09,1.5825903255,1.0922167581,0.2105723,0.009606049,1.8556448194e-08,6.005180263,-0.002792986785,6.0,0.0,6.0278412765,-0.01648507068,6.0240621672,-0.01076080942,6.0443124913,-0.0225827956,6.0512080803,-0.0282165796,6.0521930943,-0.02807017646
49,20390274,1,ok,4.046041e-09,5.058411e-09,3.027715e-09,3.841374e-09,1.5924174858,1.090985656,0.2136807,0.0140289,1.8555959131e-08,6.0051745595,-0.002789391,6.0,0.0,6.027614392,-0.01640579918,6.0243294063,-0.010746469,6.0442772024,-0.02268696121,6.0514393864,-0.02805327359,6.0530533252,-0.02847124386
50,20390275,1,ok,4.052014e-09,5.060117e-09,3.028694e-09,3.84661e-09,1.583610063,1.0893014538,0.2124695,0.009917764,1.8556048675e-08,6.0051830691,-0.002786704551,6.0,0.0,6.0279007997,-0.01657748973,6.0240057916,-0.01093807013,6.0445019462,-0.02271169955,6.0516193118,-0.02807876927,6.0522700441,-0.02820224116
51,20390276,1,ok,4.049297e-09,5.042132e-09,3.02733e-09,3.83461e-09,1.5858151512,1.0947767587,0.2112509,0.01369288,1.8556118483e-08,6.0051100821,-0.002784853368,6.0,0.0,6.0277547866,-0.01638754673,6.023444601,-0.01073184302,6.0444352077,-0.02271258913,6.0519508604,-0.02817083319,6.0526016723,-0.02814450796
52,20390277,1,ok,4.049623e-09,5.066127e-09,3.030163e-09,3.844806e-09,1.5882312174,1.0895645345,0.21349,0.01256858,1.8556300572e-08,6.005191415,-0.002800534049,6.0,0.0,6.0276853412,-0.01645161601,6.0241541089,-0.01082560307,6.0444443444,-0.02265658667,6.0514716619,-0.02815899232,6.0521959261,-0.02810182605
53,20390278,1,ok,4.05723e-09,5.062991e-09,3.033979e-09,3.844735e-09,1.582890561,1.0883117789,0.2101655,0.00884943,1.8555914438e-08,6.0051615192,-0.002790688175,6.0,0.0,6.0276009666,-0.01641198547,6.024237511,-0.01075691411,6.0445047218,-0.02271596967,6.0519848779,-0.02791637752,6.0528062045,-0.02799321747
54,20390279,1,ok,4.045556e-09,5.064981e-09,3.025647e-09,3.847619e-09,1.5857426729,1.0870869038,0.2126005,0.007181893,1.855617462e-08,6.0051720888,-0.002795308711,6.0,0.0,6.0277917133,-0.01647759999,6.0240584741,-0.01081285804,6.0441221172,-0.0226119731,6.0515760882,-0.02787742092,6.0524473341,-0.02802728847
55,20390280,1,ok,4.043798e-09,5.051188e-09,3.028763e-09,3.836415e-09,1.5877768469,1.0938471858,0.2125596,0.01458818,1.8556273196e-08,6.0051736959,-0.002780385947,6.0,0.0,6.0277835006,-0.01639091566,6.0239932699,-0.01076788058,6.0444473964,-0.02264045369,6.0516792823,-0.02801005321,6.0525637008,-0.0283527906
56,20390281,1,ok,4.056985e-09,5.065577e-09,3.032484e-09,3.847681e-09,1.5866316321,1.0888760033,0.2134689,0.01071888,1.8555963029e-08,6.0051732278,-0.002807542813,6.0,0.0,6.0277581982,-0.01642072341,6.0241324837,-0.01084869668,6.0446137362,-0.0226175157,6.0517932949,-0.02822701742,6.0525031933,-0.02838188661
57,20390282,1,ok,4.046257e-09,5.059873e-09,3.029965e-09,3.840956e-09,1.5868848964,1.0846507208,0.2121388,0.0122031,1.8556518485e-08,6.0051927806,-0.002782186784,6.0,0.0,6.0276975635,-0.01646979838,6.0241047961,-0.01086850936,6.0444026638,-0.02266921181,6.0517899735,-0.0277790984,6.0520875382,-0.02804275561
58,20390283,1,ok,4.050292e-09,5.04864e-09,3.028615e-09,3.837095e-09,1.5896519761,1.0847751416,0.2145419,0.008921807,1.8556696491e-08,6.0051229396,-0.002791546603,6.0,0.0,6.0277639858,-0.01655403609,6.0240844603,-0.01078486682,6.0444421827,-0.02266360609,6.0512912788,-0.02782439141,6.0523066525,-0.02807620939
59,20390284,1,ok,4.056145e-09,5.07097e-09,3.031479e-09,3.849497e-09,1.5846787406,1.0858696341,0.2127211,0.007610003,1.8556031327e-08,6.0051797422,-0.00279924158,6.0,0.0,6.027687402,-0.01643244129,6.0240210913,-0.01075675538,6.0444498713,-0.02265381335,6.0514627676,-0.02816696775,6.052517144,-0.02824937228
60,20390285,1,ok,4.041272e-09,5.080455e-09,3.022211e-09,3.856921e-09,1.5927918716,1.0858411416,0.2142061,0.01103728,1.8556133788e-08,6.005237166,-0.002772708883,6.0,0.0,6.0278040211,-0.01647992132,6.0241511537,-0.01088602055,6.044275701,-0.02270119485,6.0515141184,-0.02807089416,6.0521897542,-0.02828776083
